"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"72","1.0","0.0","1.0","0.0","1","1","false","A0A0F7R416","1.0","1","0","0","1.0","false","0","A0A0F7R416","0","0.0"
"73","1.0","0.0","1.0","0.0","1","1","false","Q5HYK7","1.0","1","0","0","1.0","false","0","Q5HYK7","0","0.0"
"75","4.90770609","5.3256E-4","0.20376118","0.0","2","10","false","A0A0F7R9M2","31.0","2","0","0","0.73948626","false","0","A0A0F7R9M2","25264","0.5"
"76","3.92876344","0.17883084","0.25453301","0.0","60","9","false","P19838","7.2","60","0","0","0.8047491","false","0","P19838","9862964","0.02230216"
"78","5.4484767","1.5859E-4","0.18353754","0.0","2","10","false","Q96R06","8.5","2","0","0","0.70343489","false","0","Q96R06","13952","0.5"
"80","5.27419355","0.00378479","0.18960245","0.0","5","11","false","A0A0F7R9R7","5.2","5","0","0","0.71505376","false","0","A0A0F7R9R7","144956","0.2"
"81","4.33467742","0.06172141","0.23069767","0.0","17","10","false","O00165","11.0","17","0","0","0.77768817","false","0","O00165","2666298","0.06097561"
"83","6.27374552","0.0","0.15939442","0.0","1","12","false","O14641","5.0","1","0","0","0.64841697","false","0","O14641","0","0.0"
"85","5.62768817","9.3426E-4","0.17769286","0.0","3","11","false","P0DMV8","5.0","3","0","0","0.69148746","false","0","P0DMV8","47626","0.36363636"
"87","5.81675627","0.00246517","0.17191712","0.0","4","10","false","Q8NDB2","7.5","4","0","0","0.67888292","false","0","Q8NDB2","122314","0.25"
"89","6.27374552","0.0","0.15939442","0.0","1","12","false","Q96Q11","5.0","1","0","0","0.64841697","false","0","Q96Q11","0","0.0"
"91","5.65053763","8.9606E-4","0.17697431","0.0","2","11","false","A0A0F7RBN8","8.0","2","0","0","0.68996416","false","0","A0A0F7RBN8","49060","0.5"
"92","6.65008961","0.0","0.15037391","0.0","1","12","false","O75843","2.0","1","0","0","0.62332736","false","0","O75843","0","0.0"
"94","4.65188172","0.02923625","0.21496677","0.0","15","10","false","P46379","10.0","15","0","0","0.75654122","false","0","P46379","1831810","0.07258065"
"96","5.95609319","0.0","0.16789529","0.0","1","10","false","A0A0F7RDC0","5.0","1","0","0","0.66959379","false","0","A0A0F7RDC0","0","0.0"
"97","4.95654122","0.00950201","0.20175359","0.0","5","9","false","P49585","15.2","5","0","0","0.73623059","false","0","P49585","641054","0.2057971"
"99","1.0","0.0","1.0","0.0","1","1","false","A0A0F7REZ1","1.0","1","0","0","1.0","false","0","A0A0F7REZ1","0","0.0"
"100","1.0","0.0","1.0","0.0","1","1","false","Q8NHY2","1.0","1","0","0","1.0","false","0","Q8NHY2","0","0.0"
"102","6.02240143","0.00268576","0.16604672","0.0","2","11","false","A0A0F7RG28","4.0","2","0","0","0.66517324","false","0","A0A0F7RG28","109908","0.5"
"103","5.02553763","0.01851176","0.19898369","0.0","6","10","false","Q10587","12.0","6","0","0","0.73163082","false","0","Q10587","847062","0.16923077"
"105","7.02016129","0.00179131","0.14244687","0.0","2","12","false","Q9NWW7","2.0","2","0","0","0.59865591","false","0","Q9NWW7","73276","0.5"
