"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"11692","7.72523364","0.01130116","0.12944592","0.0","8","16","false","Q4VP87","1.5","8","0","0","0.73099065","false","0","Q4VP87","57690","0.16666667"
"252","6.74299065","0.02182976","0.14830215","0.0","3","15","false","P13693","10.0","3","0","0","0.77028037","false","0","P13693","72044","0.34615385"
"323","6.90186916","0.00958807","0.14488829","0.0","3","15","false","P30480","9.66666667","3","0","0","0.76392523","false","0","P30480","43380","0.34666667"
"11695","8.72429907","0.0","0.11462239","0.0","1","17","false","Q14590","8.0","1","0","0","0.69102804","false","0","Q14590","0","0.0"
"11697","8.72429907","0.0","0.11462239","0.0","1","17","false","Q86VB7","8.0","1","0","0","0.69102804","false","0","Q86VB7","0","0.0"
"11699","8.72429907","0.0","0.11462239","0.0","1","17","false","Q86Y74","8.0","1","0","0","0.69102804","false","0","Q86Y74","0","0.0"
"11701","8.72429907","0.0","0.11462239","0.0","1","17","false","Q8NHJ6","8.0","1","0","0","0.69102804","false","0","Q8NHJ6","0","0.0"
"4648","8.72429907","0.0","0.11462239","0.0","1","17","false","Q8NHL6","8.0","1","0","0","0.69102804","false","0","Q8NHL6","0","0.0"
"11704","8.72429907","0.0","0.11462239","0.0","1","17","false","Q96GE9","8.0","1","0","0","0.69102804","false","0","Q96GE9","0","0.0"
"11706","1.0","0.0","1.0","0.0","1","1","false","Q5NE72","1.0","1","0","0","1.0","false","0","Q5NE72","0","0.0"
"11707","1.0","0.0","1.0","0.0","1","1","false","Q9UI12","1.0","1","0","0","1.0","false","0","Q9UI12","0","0.0"
"11709","7.96074766","0.0070134","0.12561634","0.0","4","18","false","Q5NE79","1.75","4","0","0","0.72157009","false","0","Q5NE79","21132","0.25"
"11710","8.95981308","0.0","0.11160947","0.0","1","19","false","P55072","4.0","1","0","0","0.68160748","false","0","P55072","0","0.0"
"2278","7.09252336","0.01359344","0.14099354","0.0","3","17","false","Q6ZV49","6.33333333","3","0","0","0.75629907","false","0","Q6ZV49","51636","0.33333333"
"11713","8.45327103","0.00292617","0.1182974","0.0","2","19","false","Q96ST8","5.5","2","0","0","0.70186916","false","0","Q96ST8","8946","0.5"
"235","8.95981308","0.0","0.11160947","0.0","1","19","false","Q9NYI0","4.0","1","0","0","0.68160748","false","0","Q9NYI0","0","0.0"
"11716","6.8317757","0.0","0.14637483","0.0","1","16","false","Q5NE81","3.0","1","0","0","0.76672897","false","0","Q5NE81","0","0.0"
"616","5.83271028","0.01625359","0.17144688","0.0","3","15","false","Q9H355","22.33333333","3","0","0","0.80669159","false","0","Q9H355","49110","0.33333333"
"11718","6.45233645","0.00943571","0.15498262","0.0","5","16","false","Q5NE82","1.6","5","0","0","0.78190654","false","0","Q5NE82","28088","0.2"
"2667","6.5317757","0.00365446","0.15309772","0.0","2","16","false","P0C0L4","6.0","2","0","0","0.77872897","false","0","P0C0L4","12430","0.5"
"3930","7.45140187","0.0","0.13420293","0.0","1","17","false","P53804","5.0","1","0","0","0.74194393","false","0","P53804","0","0.0"
"1788","7.45140187","0.0","0.13420293","0.0","1","17","false","P61586","5.0","1","0","0","0.74194393","false","0","P61586","0","0.0"
"11722","5.84205607","0.00805397","0.17117261","0.0","2","15","false","Q66GS9","32.5","2","0","0","0.80631776","false","0","Q66GS9","22566","0.5"
"1260","7.43831776","0.00271274","0.134439","0.0","2","17","false","Q9UGI8","4.5","2","0","0","0.74246729","false","0","Q9UGI8","11314","0.5"
"11725","7.23925234","0.01319484","0.13813581","0.0","7","15","false","Q5NE83","1.71428571","7","0","0","0.75042991","false","0","Q5NE83","38476","0.14285714"
"381","8.23831776","0.0","0.121384","0.0","1","16","false","O43491","7.0","1","0","0","0.71046729","false","0","O43491","0","0.0"
"110","7.5728972","0.00588119","0.13204986","0.0","3","16","false","P02462","5.33333333","3","0","0","0.73708411","false","0","P02462","19554","0.33333333"
"2590","7.6271028","0.0027385","0.13111138","0.0","2","15","false","P05412","4.5","2","0","0","0.73491589","false","0","P05412","9108","0.5"
"144","8.23831776","0.0","0.121384","0.0","1","16","false","Q14498","7.0","1","0","0","0.71046729","false","0","Q14498","0","0.0"
"1205","6.6364486","0.01618022","0.150683","0.0","3","16","false","Q86TM6","8.66666667","3","0","0","0.77454206","false","0","Q86TM6","57666","0.33333333"
"2578","8.23831776","0.0","0.121384","0.0","1","16","false","Q86VX2","7.0","1","0","0","0.71046729","false","0","Q86VX2","0","0.0"
"11732","8.23831776","0.0","0.121384","0.0","1","16","false","Q96QK1","7.0","1","0","0","0.71046729","false","0","Q96QK1","0","0.0"
"11734","8.16074766","0.0","0.12253779","0.0","1","17","false","Q5NE85","2.0","1","0","0","0.71357009","false","0","Q5NE85","0","0.0"
"11735","7.16168224","0.00186916","0.139632","0.0","2","16","false","Q8IVI9","4.5","2","0","0","0.75353271","false","0","Q8IVI9","9248","0.5"
"11737","7.45420561","0.00560223","0.13415246","0.0","4","17","false","Q5NE94","1.5","4","0","0","0.74183178","false","0","Q5NE94","18708","0.25"
"11738","6.46074766","0.00916086","0.15478085","0.0","3","16","false","O75923","7.33333333","3","0","0","0.78157009","false","0","O75923","35302","0.33333333"
"11740","8.45327103","0.0","0.1182974","0.0","1","18","false","Q13621","4.0","1","0","0","0.70186916","false","0","Q13621","0","0.0"
"628","8.45327103","0.0","0.1182974","0.0","1","18","false","Q64F87","4.0","1","0","0","0.70186916","false","0","Q64F87","0","0.0"
"1932","8.45327103","0.0","0.1182974","0.0","1","18","false","Q92610","4.0","1","0","0","0.70186916","false","0","Q92610","0","0.0"
"11744","7.97383178","0.0","0.12541022","0.0","1","17","false","Q5NE96","2.0","1","0","0","0.72104673","false","0","Q5NE96","0","0.0"
"1249","6.97476636","0.00186916","0.14337398","0.0","2","16","false","Q9UNE7","2.5","2","0","0","0.76100935","false","0","Q9UNE7","6060","0.5"
"11746","9.97943925","0.02951313","0.10020603","0.0","3","19","false","Q5NE99","1.66666667","3","0","0","0.64082243","false","0","Q5NE99","71966","0.33333333"
"81","10.95233645","0.02585","0.09130472","0.0","2","20","false","O00165","4.5","2","0","0","0.60190654","false","0","O00165","63000","0.5"
"11748","10.97850467","0.0","0.09108709","0.0","1","20","false","Q9NWR8","3.0","1","0","0","0.60085981","false","0","Q9NWR8","0","0.0"
"4127","9.01028037","0.03130011","0.11098434","0.0","2","18","false","Q9Y2J2","5.5","2","0","0","0.67958879","false","0","Q9Y2J2","76398","0.5"
"11751","9.32149533","0.01302117","0.10727893","0.0","3","20","false","Q5NEA2","2.0","3","0","0","0.66714019","false","0","Q5NEA2","43328","0.33333333"
"157","10.31121495","0.00931782","0.09698178","0.0","3","21","false","P13639","2.66666667","3","0","0","0.6275514","false","0","P13639","30968","0.33333333"
"11753","10.32056075","0.0","0.09689396","0.0","1","21","false","Q96QT6","3.0","1","0","0","0.62717757","false","0","Q96QT6","0","0.0"
"418","8.33551402","0.01485535","0.11996861","0.0","2","19","false","Q9HCC8","3.0","2","0","0","0.70657944","false","0","Q9HCC8","49488","0.5"
"11756","7.35327103","0.00325272","0.1359939","0.0","3","16","false","Q5NEA3","1.66666667","3","0","0","0.74586916","false","0","Q5NEA3","11124","0.33333333"
"11757","7.01401869","0.00250108","0.14257162","0.0","2","17","false","P51991","5.5","2","0","0","0.75943925","false","0","P51991","9108","0.5"
"2157","6.7317757","0.00348547","0.14854922","0.0","2","15","false","P60953","13.0","2","0","0","0.77072897","false","0","P60953","11808","0.5"
"11760","8.35233645","0.0","0.11972698","0.0","1","17","false","Q9UJ04","3.0","1","0","0","0.70590654","false","0","Q9UJ04","0","0.0"
"11762","1.0","1.0","1.0","0.0","2","1","false","Q5NEB0","1.0","2","0","0","1.0","false","0","Q5NEB0","2","0.0"
"11763","1.5","0.0","0.66666667","0.0","1","2","false","Q96FZ5","2.0","1","0","0","0.75","false","0","Q96FZ5","0","0.0"
"2882","1.5","0.0","0.66666667","0.0","1","2","false","Q9NX76","2.0","1","0","0","0.75","false","0","Q9NX76","0","0.0"
"11766","7.35140187","0.01854996","0.13602848","0.0","3","18","false","Q5NEB2","2.0","3","0","0","0.74594393","false","0","Q5NEB2","61838","0.33333333"
"1637","6.37102804","0.02696912","0.15696054","0.0","3","17","false","P04792","8.66666667","3","0","0","0.78515888","false","0","P04792","99580","0.33333333"
"11769","8.35046729","0.0","0.11975378","0.0","1","19","false","Q9NUV9","3.0","1","0","0","0.70598131","false","0","Q9NUV9","0","0.0"
"11771","1.0","0.0","1.0","0.0","1","1","false","Q5NEB3","1.0","1","0","0","1.0","false","0","Q5NEB3","0","0.0"
"11772","1.0","0.0","1.0","0.0","1","1","false","O15127","1.0","1","0","0","1.0","false","0","O15127","0","0.0"
"11774","5.47476636","0.02399952","0.1826562","0.0","6","15","false","Q5NEB4","3.33333333","6","0","0","0.82100935","false","0","Q5NEB4","116928","0.16666667"
"2234","6.47383178","0.0","0.15446802","0.0","1","16","false","P00533","6.0","1","0","0","0.78104673","false","0","P00533","0","0.0"
"557","5.01775701","0.19290409","0.19929223","0.0","11","14","false","P04233","9.45454545","11","0","0","0.83928972","false","0","P04233","744672","0.09090909"
"142","5.35420561","0.06140695","0.18676907","0.0","5","15","false","P48995","18.2","5","0","0","0.82583178","false","0","P48995","223104","0.2"
"11778","6.47383178","0.0","0.15446802","0.0","1","16","false","Q8N6S5","6.0","1","0","0","0.78104673","false","0","Q8N6S5","0","0.0"
"3764","6.47383178","0.0","0.15446802","0.0","1","16","false","Q92614","6.0","1","0","0","0.78104673","false","0","Q92614","0","0.0"
"11781","6.47383178","0.0","0.15446802","0.0","1","16","false","Q9NUN5","6.0","1","0","0","0.78104673","false","0","Q9NUN5","0","0.0"
"11783","5.81869159","0.0387969","0.17185994","0.0","5","15","false","Q5NEB5","4.6","5","0","0","0.80725234","false","0","Q5NEB5","163800","0.21176471"
"244","6.47009346","0.03358519","0.15455727","0.0","6","16","false","O15162","4.5","6","0","0","0.78119626","false","0","O15162","141806","0.16666667"
"3807","6.81775701","0.0","0.14667581","0.0","1","16","false","O75886","5.0","1","0","0","0.76728972","false","0","O75886","0","0.0"
"1476","5.87009346","0.06876305","0.17035504","0.0","9","15","false","P01834","7.55555556","9","0","0","0.80519626","false","0","P01834","283098","0.11500975"
"1108","5.19345794","0.07411373","0.19254994","0.0","4","14","false","Q7Z7A1","13.0","4","0","0","0.83226168","false","0","Q7Z7A1","327454","0.26086957"
"5095","6.29626168","0.01911524","0.1588244","0.0","3","16","false","Q9NQC1","5.0","3","0","0","0.78814953","false","0","Q9NQC1","61054","0.33333333"
"11789","6.55700935","0.03408718","0.15250855","0.0","12","16","false","Q5NEB6","1.83333333","12","0","0","0.77771963","false","0","Q5NEB6","140466","0.08333333"
"11790","7.55607477","0.0","0.13234385","0.0","1","17","false","O60888","12.0","1","0","0","0.73775701","false","0","O60888","0","0.0"
"3879","5.94672897","0.01776723","0.16815967","0.0","3","15","false","O60941","11.33333333","3","0","0","0.80213084","false","0","O60941","76074","0.33333333"
"11794","7.55607477","0.0","0.13234385","0.0","1","17","false","Q01826","12.0","1","0","0","0.73775701","false","0","Q01826","0","0.0"
"11796","6.96168224","0.01017876","0.14364344","0.0","3","17","false","Q08380","9.66666667","3","0","0","0.76153271","false","0","Q08380","28530","0.33333333"
"3434","7.55607477","0.0","0.13234385","0.0","1","17","false","Q30154","12.0","1","0","0","0.73775701","false","0","Q30154","0","0.0"
"11799","7.55607477","0.0","0.13234385","0.0","1","17","false","Q86SQ0","12.0","1","0","0","0.73775701","false","0","Q86SQ0","0","0.0"
"2550","7.55607477","0.0","0.13234385","0.0","1","17","false","Q8NEU8","12.0","1","0","0","0.73775701","false","0","Q8NEU8","0","0.0"
"4630","7.55607477","0.0","0.13234385","0.0","1","17","false","Q969G3","12.0","1","0","0","0.73775701","false","0","Q969G3","0","0.0"
"4538","6.5317757","0.00594642","0.15309772","0.0","2","17","false","Q9NZM3","7.5","2","0","0","0.77872897","false","0","Q9NZM3","25208","0.5"
"1800","7.38971963","0.00380925","0.13532313","0.0","3","17","false","Q9UJW9","5.0","3","0","0","0.74441121","false","0","Q9UJW9","17210","0.33333333"
"2135","7.50747664","0.00920096","0.13320055","0.0","2","17","false","Q9UQ35","9.5","2","0","0","0.73970093","false","0","Q9UQ35","34218","0.5"
"11806","8.70280374","0.0","0.1149055","0.0","1","18","false","Q5NEB8","2.0","1","0","0","0.69188785","false","0","Q5NEB8","0","0.0"
"11807","7.70373832","0.00186916","0.12980711","0.0","2","17","false","Q5T3J3","4.0","2","0","0","0.73185047","false","0","Q5T3J3","5082","0.5"
"11809","1.0","0.0","1.0","0.0","1","1","false","Q5NEB9","1.0","1","0","0","1.0","false","0","Q5NEB9","0","0.0"
"11810","1.0","0.0","1.0","0.0","1","1","false","Q8NDF8","1.0","1","0","0","1.0","false","0","Q8NDF8","0","0.0"
"11812","4.86915888","0.28221193","0.20537428","0.0","60","14","false","Q5NEC0","1.76666667","60","0","0","0.84523364","false","0","Q5NEC0","960892","0.01666667"
"3098","5.41775701","0.03467225","0.18457823","0.0","4","15","false","A0A1L1M261","17.75","4","0","0","0.82328972","false","0","A0A1L1M261","139700","0.25"
"713","5.8682243","0.0","0.1704093","0.0","1","15","false","A8K451","60.0","1","0","0","0.80527103","false","0","A8K451","0","0.0"
"11815","5.8682243","0.0","0.1704093","0.0","1","15","false","O14975","60.0","1","0","0","0.80527103","false","0","O14975","0","0.0"
"11817","5.8682243","0.0","0.1704093","0.0","1","15","false","O43914","60.0","1","0","0","0.80527103","false","0","O43914","0","0.0"
"11819","5.84392523","0.01105666","0.17111786","0.0","3","15","false","O75298","21.66666667","3","0","0","0.80624299","false","0","O75298","47394","0.33879781"
"11821","5.8682243","0.0","0.1704093","0.0","1","15","false","O75821","60.0","1","0","0","0.80527103","false","0","O75821","0","0.0"
"153","5.18224299","0.1665076","0.19296664","0.0","9","13","false","P01871","14.77777778","9","0","0","0.83271028","false","0","P01871","528784","0.11201445"
"11824","5.8682243","0.0","0.1704093","0.0","1","15","false","P05155","60.0","1","0","0","0.80527103","false","0","P05155","0","0.0"
"11826","5.8682243","0.0","0.1704093","0.0","1","15","false","P07225","60.0","1","0","0","0.80527103","false","0","P07225","0","0.0"
"11828","5.8682243","0.0","0.1704093","0.0","1","15","false","P09341","60.0","1","0","0","0.80527103","false","0","P09341","0","0.0"
"11830","5.8682243","0.0","0.1704093","0.0","1","15","false","P12544","60.0","1","0","0","0.80527103","false","0","P12544","0","0.0"
"11832","5.8682243","0.0","0.1704093","0.0","1","15","false","P15260","60.0","1","0","0","0.80527103","false","0","P15260","0","0.0"
"11834","5.8682243","0.0","0.1704093","0.0","1","15","false","P15311","60.0","1","0","0","0.80527103","false","0","P15311","0","0.0"
"1923","5.8682243","0.0","0.1704093","0.0","1","15","false","P17927","60.0","1","0","0","0.80527103","false","0","P17927","0","0.0"
"76","4.79345794","0.20889168","0.20861766","0.0","11","15","false","P19838","11.09090909","11","0","0","0.84826168","false","0","P19838","687462","0.09173554"
"11838","5.8682243","0.0","0.1704093","0.0","1","15","false","P25116","60.0","1","0","0","0.80527103","false","0","P25116","0","0.0"
