"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"16630","6.73370905","2.3382E-4","0.14850656","0.0","3","14","false","E7E526","3.0","3","0","0","0.68146061","false","0","E7E526","19386","0.5"
"16631","6.65762592","5.7174E-4","0.15020369","0.0","3","13","false","Q6ZU80","7.0","3","0","0","0.68568745","false","0","Q6ZU80","33962","0.375"
"4123","6.18985558","8.5134E-4","0.16155466","0.0","3","13","false","Q7LBR1","4.66666667","3","0","0","0.71167469","false","0","Q7LBR1","49890","0.40740741"
"16634","6.55054597","6.3116E-4","0.15265903","0.0","3","15","false","Q8N2N9","5.66666667","3","0","0","0.69163634","false","0","Q8N2N9","35858","0.38888889"
"16636","5.47904192","0.00179804","0.18251366","0.0","4","14","false","E7E564","8.75","4","0","0","0.75116434","false","0","E7E564","168180","0.27678571"
"16637","6.47868968","0.0","0.1543522","0.0","1","15","false","A4D2D6","4.0","1","0","0","0.69562835","false","0","A4D2D6","0","0.0"
"81","4.54068334","0.04698368","0.22023117","0.0","22","13","false","O00165","9.18181818","22","0","0","0.80329537","false","0","O00165","3742132","0.0487013"
"108","5.44522719","0.00942153","0.18364707","0.0","9","13","false","P02461","3.44444444","9","0","0","0.75304293","false","0","P02461","724816","0.12222222"
"16641","6.00457908","2.3255E-4","0.16653957","0.0","3","13","false","Q96HA1","5.33333333","3","0","0","0.72196783","false","0","Q96HA1","22996","0.43333333"
"16643","6.43219443","0.0","0.15546794","0.0","1","14","false","E7E568","9.0","1","0","0","0.69821142","false","0","E7E568","0","0.0"
"235","5.43254667","0.0070159","0.18407573","0.0","9","13","false","Q9NYI0","3.88888889","9","0","0","0.75374741","false","0","Q9NYI0","552584","0.11555556"
"16645","5.00774921","0.0","0.19969051","0.0","1","12","false","E7E569","104.0","1","0","0","0.77734727","false","0","E7E569","0","0.0"
"76","4.00810144","0.21623141","0.24949468","0.0","104","11","false","P19838","4.19230769","104","0","0","0.83288325","false","0","P19838","15777014","0.01067661"
"16647","6.11729482","0.00192362","0.16347095","0.0","6","14","false","E7E570","3.66666667","6","0","0","0.71570584","false","0","E7E570","201466","0.22222222"
"565","7.11694259","0.0","0.14050977","0.0","1","15","false","A2I2N5","6.0","1","0","0","0.66016986","false","0","A2I2N5","0","0.0"
