,name,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,Degree,Eccentricity
0,E7E526,6.73370905,0.00023382,0.14850656,3,14
1,Q6ZU80,6.65762592,0.00057174,0.15020369,3,13
2,Q7LBR1,6.18985558,0.00085134,0.16155466,3,13
3,Q8N2N9,6.55054597,0.00063116,0.15265903,3,15
4,E7E564,5.47904192,0.00179804,0.18251366,4,14
5,A4D2D6,6.47868968,0.0,0.15435220000000002,1,15
6,O00165,4.54068334,0.04698368,0.22023117,22,13
7,P02461,5.44522719,0.00942153,0.18364707,9,13
8,Q96HA1,6.00457908,0.00023255,0.16653957,3,13
9,E7E568,6.43219443,0.0,0.15546794,1,14
10,Q9NYI0,5.43254667,0.007015899999999999,0.18407573,9,13
11,E7E569,5.00774921,0.0,0.19969051,1,12
12,P19838,4.00810144,0.21623141,0.24949468,104,11
13,E7E570,6.11729482,0.00192362,0.16347095,6,14
14,A2I2N5,7.11694259,0.0,0.14050977,1,15
15,P30043,7.11553364,2e-07,0.14053759999999998,2,15
16,P37275,7.11553364,2e-07,0.14053759999999998,2,15
17,P49796,5.33039803,0.01079411,0.18760325,8,13
18,Q3YBR2,6.2927087,0.00122577,0.15891408,5,13
19,Q68CP9,6.4251497,0.00082811,0.1556384,4,15
20,E7E582,5.23388517,0.00035211,0.19106266,2,12
21,Q9NY15,4.23494188,0.08663786,0.23613075,38,11
22,Q9UHD2,6.23282846,1.2e-07,0.1604408,2,13
23,E7E583,7.01620289,0.0,0.14252724,1,12
24,P31153,6.01655513,0.00844517,0.16620807,10,11
25,E7E585,5.80098626,0.00089226,0.17238448,4,14
26,O00555,6.79992955,6e-08,0.14706035,2,15
27,Q6P2H3,5.15921099,0.00368445,0.19382809,7,13
28,Q8WWB7,6.79992955,6e-08,0.14706035,2,15
29,Q92802,5.05072209,0.0165766,0.19799149,14,13
30,E7E586,6.25184924,0.00242532,0.15995267,6,14
31,O94979,5.30855935,0.01660096,0.18837502,12,13
32,P01912,6.37090525,0.00402279,0.15696356,6,15
33,P26599,7.25008806,0.00070451,0.13792936,3,15
34,Q9H355,7.25079253,4e-08,0.13791596,2,15
35,Q9UK58,7.25079253,4e-08,0.13791596,2,15
36,Q9Y6X2,7.25079253,4e-08,0.13791596,2,15
37,E7E587,4.95632265,0.01722477,0.20176249,22,12
38,P02452,5.35787249,0.00384596,0.18664125,6,11
39,P0C2Y1,5.95526594,1e-08,0.16791861,2,13
40,P22626,5.80591758,0.00386549,0.17223806,4,11
41,P30480,4.55336386,0.0374129,0.21961785,11,13
42,P61073,5.95526594,1e-08,0.16791861,2,13
43,P67809,4.73441353,0.007016,0.2112194,4,13
44,Q06830,5.95526594,1e-08,0.16791861,2,13
45,Q14192,5.68967946,0.01117115,0.17575683,9,13
46,Q15773,5.95315252,0.00211194,0.16797823,3,13
47,Q30154,5.75730891,0.00152772,0.17369226,4,13
48,Q49A13,5.95526594,1e-08,0.16791861,2,13
49,Q6NW34,5.95526594,1e-08,0.16791861,2,13
50,Q6ZSB9,5.95526594,1e-08,0.16791861,2,13
51,Q6ZTQ9,5.95526594,1e-08,0.16791861,2,13
52,Q7Z739,5.95526594,1e-08,0.16791861,2,13
53,Q86YT9,5.69249736,0.0017245000000000001,0.17566982,3,13
54,Q8NDV7,4.84219796,0.03185016,0.20651779,19,11
55,Q8WXA9,5.91229306,0.00119923,0.16913911,3,13
56,Q92841,5.84748151,0.00196249,0.17101379,4,13
