,name,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,Degree,Eccentricity
0,A0A0F7R416,1.0,0.0,1.0,1,1
1,Q5HYK7,1.0,0.0,1.0,1,1
2,A0A0F7R9M2,4.90770609,0.00053256,0.20376118,2,10
3,P19838,3.92876344,0.17883084,0.25453301,60,9
4,Q96R06,5.4484767,0.00015859,0.18353754,2,10
5,A0A0F7R9R7,5.27419355,0.00378479,0.18960245,5,11
6,O00165,4.33467742,0.06172141,0.23069767,17,10
7,O14641,6.27374552,0.0,0.15939442,1,12
8,P0DMV8,5.62768817,0.00093426,0.17769286,3,11
9,Q8NDB2,5.81675627,0.00246517,0.17191712,4,10
10,Q96Q11,6.27374552,0.0,0.15939442,1,12
11,A0A0F7RBN8,5.65053763,0.00089606,0.17697431,2,11
12,O75843,6.65008961,0.0,0.15037391,1,12
13,P46379,4.65188172,0.02923625,0.21496677,15,10
14,A0A0F7RDC0,5.95609319,0.0,0.16789529,1,10
15,P49585,4.95654122,0.00950201,0.20175359,5,9
16,A0A0F7REZ1,1.0,0.0,1.0,1,1
17,Q8NHY2,1.0,0.0,1.0,1,1
18,A0A0F7RG28,6.02240143,0.00268576,0.16604672,2,11
19,Q10587,5.02553763,0.01851176,0.19898369,6,10
20,Q9NWW7,7.02016129,0.00179131,0.14244687,2,12
21,A0A0F7RG58,5.35035842,0.0050853,0.18690337,7,10
22,P02461,4.79256272,0.01599942,0.20865663,7,10
23,P02462,4.98790323,0.01668695,0.20048504,8,10
24,P30520,6.34991039,0.0,0.15748254,1,11
25,Q13133,6.34991039,0.0,0.15748254,1,11
26,Q59E92,6.34991039,0.0,0.15748254,1,11
27,Q5T0J3,5.76836918,0.00121887,0.17335922,2,11
28,Q9HD26,5.55062724,0.00059178,0.18015982,2,11
29,A0A0F7RI40,5.40591398,0.00154555,0.1849826,3,11
30,O43747,4.46191756,0.01991807,0.22411889,8,10
31,Q92982,5.72267025,0.00237218,0.17474360000000003,7,10
32,Q9H307,6.40546595,0.0,0.15611667,1,12
33,A0A0F7RKT3,4.57437276,0.00921515,0.21860921,5,9
34,P51149,5.57392473,0.0,0.1794068,1,10
35,Q7Z3K3,4.27016129,0.04316383,0.23418319,19,9
36,Q9NY15,4.30062724,0.09199764,0.23252422,27,9
37,Q9Y6X8,4.64919355,0.01259072,0.21509107,10,9
38,A0A1A9IFF4,5.85304659,0.00089545,0.17085119,3,10
39,O75787,6.85170251,1.3e-07,0.14594913,2,11
40,P48995,4.85528674,0.03073725,0.20596106,13,9
41,Q14498,6.85170251,1.3e-07,0.14594913,2,11
42,A0A1A9IJH2,4.07616487,0.07946646,0.24532864,48,8
43,O00233,5.07482079,1e-08,0.19705129,2,9
44,O15143,5.0515233,0.00423004,0.19796009,3,9
45,O94979,4.89202509,0.01348947,0.20441432,8,9
46,P01871,4.5031362,0.01207426,0.22206746,6,9
47,P10826,5.07482079,1e-08,0.19705129,2,9
48,P13639,4.94041219,0.00651634,0.20241226,4,9
49,P13796,4.93503584,0.00640405,0.20263277,4,9
50,P17931,4.28270609,0.06867541,0.23349723,23,8
51,P18583,4.73342294,0.00583138,0.21126361,4,9
52,P19532,5.07482079,1e-08,0.19705129,2,9
53,P20073,4.8015233,0.01264225,0.20826724,7,9
54,P20339,4.92876344,0.01350349,0.20289065,6,9
55,P21731,5.07482079,1e-08,0.19705129,2,9
56,P26641,4.56317204,0.02087785,0.2191458,7,9
57,P28290,5.04077061,0.0021517,0.19838237,3,9
58,P33121,5.07482079,1e-08,0.19705129,2,9
59,P45880,5.07302867,0.00179132,0.1971209,3,9
60,P46063,5.07482079,1e-08,0.19705129,2,9
61,P78364,4.97983871,0.00445288,0.20080972,4,9
62,Q01081,5.07482079,1e-08,0.19705129,2,9
63,Q14568,5.07482079,1e-08,0.19705129,2,9
64,Q15751,5.07482079,1e-08,0.19705129,2,9
65,Q2TAL8,5.07482079,1e-08,0.19705129,2,9
66,Q4G0J3,5.07482079,1e-08,0.19705129,2,9
67,Q5HYC2,4.73521505,0.00666627,0.21118365,3,9
68,Q6AHZ1,4.81137993,0.01386548,0.20784058,6,9
69,Q6IQ19,5.07482079,1e-08,0.19705129,2,9
70,Q6PKC3,4.86693548,0.01850934,0.20546810000000001,11,9
71,Q6ZUT9,5.07482079,1e-08,0.19705129,2,9
72,Q6ZWJ1,5.0640681,0.00086329,0.1974697,3,9
73,Q7Z3U7,5.07482079,1e-08,0.19705129,2,9
74,Q7Z4H7,5.04077061,0.00120423,0.19838237,3,9
75,Q8N131,5.07482079,1e-08,0.19705129,2,9
76,Q8N196,5.06675627,0.00105469,0.19736493,3,9
77,Q8N2S1,4.86603943,0.01552233,0.20550594,9,9
78,Q8NAV2,5.05958781,0.0039327,0.19764456,3,9
79,Q8WXI9,4.6859319,0.01971132,0.21340472,5,9
80,Q92541,5.07482079,1e-08,0.19705129,2,9
81,Q92888,5.06048387,0.00153745,0.19760956,3,9
82,Q96A84,5.07482079,1e-08,0.19705129,2,9
83,Q96T58,4.545250900000001,0.01504047,0.22000986,6,9
84,Q9H4A3,4.46818996,0.00677515,0.22380427,4,9
85,Q9NP66,5.03629032,0.00854841,0.19855885,3,9
86,Q9NYI0,4.49775986,0.03074521,0.22233289999999997,12,9
87,Q9ULJ1,4.80958781,0.00354784,0.20791803,5,9
88,Q9Y228,5.03718638,0.00517098,0.19852353,3,9
89,A0A1V4B700,4.73566308,0.01369687,0.21116367,13,9
90,O00232,5.73521505,0.0,0.17436138,1,10
91,O15162,4.61424731,0.02519574,0.21672007,12,9
92,O75044,5.73521505,0.0,0.17436138,1,10
93,O75400,5.73521505,0.0,0.17436138,1,10
94,P13056,5.73521505,0.0,0.17436138,1,10
95,P13693,5.46370968,0.00334357,0.18302583,4,10
96,P35658,5.16532258,0.00189338,0.19359875,2,10
97,Q15596,5.2405914000000005,0.00156202,0.19081816,3,10
98,Q9BZK7,5.73521505,0.0,0.17436138,1,10
99,Q9HD43,5.73521505,0.0,0.17436138,1,10
100,Q9UM00,5.73521505,0.0,0.17436138,1,10
101,A0A1V4B9W0,5.85483871,0.0,0.1707989,1,10
102,A0A1V4BCE5,5.85304659,0.00089545,0.17085119,3,10
103,A0A1V4BGP0,4.07616487,0.07946646,0.24532864,48,8
104,P13423,4.82526882,0.02240085,0.20724234,13,9
105,P30480,4.40815412,0.04137561,0.22685232,13,9
106,P31629,5.58915771,0.00058517,0.17891784,2,10
107,P45973,5.51657706,0.00616727,0.18127183,5,10
108,P46940,5.11066308,0.00507524,0.19566933,3,10
109,P58335,5.82482079,0.0,0.17167910000000003,1,10
110,P63172,5.14202509,0.0021255,0.19447591,3,9
111,Q3MJ40,5.78181004,0.00752382,0.17295622,4,10
112,Q4FZB7,5.73163082,0.00034684,0.17447041,2,10
113,Q5JTD0,5.82302867,0.00179131,0.17173194,2,10
114,Q9H6X2,5.82482079,0.0,0.17167910000000003,1,10
115,Q9NQB0,5.35797491,0.00392309,0.18663768,3,10
116,Q9UQC1,5.62948029,0.00365494,0.17763629,4,10
117,P15917,7.03763441,0.00179171,0.1420932,3,11
118,P46734,8.03718638,0.0,0.12442165,1,12
119,P53618,6.03987455,0.00315767,0.16556635,3,10
120,P61923,8.03718638,0.0,0.12442165,1,12
121,P40136,1.0,1.0,1.0,3,1
122,B4DJ51,1.66666667,0.0,0.6,1,2
123,P0DP23,1.66666667,0.0,0.6,1,2
124,Q9BRL5,1.66666667,0.0,0.6,1,2
125,P77819,7.10573477,0.0011787,0.14073139999999998,4,12
126,A4D0Z4,6.90188172,0.0003437,0.14488802,2,12
127,P31943,8.10528674,0.0,0.12337626,1,13
128,P49908,6.30958781,0.00286013,0.15848896,4,11
129,Q96CN9,6.90188172,0.0003437,0.14488802,2,12
130,P94217,7.05555556,0.0,0.14173228,1,11
131,Q9NUX5,6.05600358,0.00089606,0.16512539999999998,2,10
132,Q44643,6.52150538,0.00089606,0.15333883,2,11
133,P07355,5.52284946,0.00263456,0.18106595,3,10
134,P60468,7.52105735,0.0,0.13296003,1,12
135,Q6EZZ9,4.92831541,0.0,0.20290909,1,10
136,Q6F011,6.22222222,0.00268657,0.16071429,3,11
137,O43491,5.22535842,0.01353896,0.19137443,6,10
138,P35555,7.22087814,0.00089606,0.13848731,2,12
139,Q96FQ6,7.22177419,0.0,0.13847013,1,12
140,Q6F051,5.15591398,0.0059837,0.19395203,8,10
141,P05107,5.15367384,0.00125844,0.19403634,2,9
142,Q12805,5.76836918,0.00071994,0.17335922,3,11
143,Q13651,5.58019713,0.00029912,0.17920514,2,11
144,Q14765,6.15456989,0.00089606,0.16248089,2,11
145,Q5TB80,5.33826165,0.00487851,0.1873269,7,11
146,Q96SN8,6.15546595,0.0,0.16245724,1,11
147,Q9NQZ2,6.15546595,0.0,0.16245724,1,11
148,Q6HQX5,1.0,1.0,1.0,2,1
149,P08263,1.5,0.0,0.66666667,1,2
150,Q9BU02,1.5,0.0,0.66666667,1,2
151,Q6KM77,6.62455197,0.0,0.1509536,1,12
152,Q8TAQ2,5.625,0.00228702,0.17777778,4,11
153,Q6KMJ2,5.52150538,0.00536791,0.18111003,4,10
154,P57721,6.52105735,0.0,0.15334936,1,11
155,Q8IZD2,6.51836918,0.00268697,0.15341261,4,11
156,Q8N836,6.52105735,0.0,0.15334936,1,11
157,Q9HCC8,4.52732975,0.03852945,0.22088075,17,9
158,Q6KMS8,5.20340502,0.00914945,0.19218185,9,10
159,E9KL35,5.31137993,0.00325051,0.18827499,5,10
160,P55199,5.37141577,0.00267741,0.18617066,3,10
161,P55795,6.20116487,0.00179131,0.16126002,2,11
162,P63244,5.31137993,0.00325051,0.18827499,5,10
163,Q14154,5.43324373,0.00345625,0.18405212,3,10
164,Q7L2H7,6.20206093,0.00089606,0.16123673,2,11
165,Q8N8E3,6.20295699,0.0,0.16121343,1,11
166,Q9HBU6,6.20295699,0.0,0.16121343,1,11
167,Q6KNA9,4.329749099999999,0.05319756,0.23096026,22,9
168,D9ZGF6,5.32930108,0.0,0.18764187,1,10
169,O00408,5.32930108,0.0,0.18764187,1,10
170,O00478,5.32930108,0.0,0.18764187,1,10
171,P08572,5.16173835,0.00576807,0.19373318,4,10
172,Q09472,5.05331541,0.00447993,0.19788988,4,9
173,Q12852,5.32930108,0.0,0.18764187,1,10
174,Q12899,5.10080645,0.0025083,0.19604743,4,9
175,Q13093,5.32930108,0.0,0.18764187,1,10
176,Q15773,5.32930108,0.0,0.18764187,1,10
177,Q59H65,5.20922939,0.00104987,0.19196697,3,9
178,Q6ZMY6,4.77374552,0.01663045,0.20947912,7,9
179,Q8N5I3,4.92607527,0.00106682,0.20300136,2,9
180,Q92765,5.32930108,0.0,0.18764187,1,10
181,Q9NRV9,5.32930108,0.0,0.18764187,1,10
182,Q9NTJ3,5.22804659,0.00321212,0.19127603,3,10
183,Q6KRG0,7.02508961,0.0,0.14234694,1,12
184,P08962,6.02553763,0.00163118,0.16596029,3,11
185,Q81JD6,1.0,0.0,1.0,1,1
186,P48552,1.0,0.0,1.0,1,1
187,Q81JD7,1.0,0.0,1.0,1,1
188,Q9UGT4,1.0,0.0,1.0,1,1
189,Q81JE0,6.15591398,0.0,0.16244541,1,11
190,Q9P0L0,5.15636201,0.02036811,0.19393518,13,10
191,Q81JE2,5.59946237,0.00211767,0.17858857,4,11
192,P50990,5.81586022,0.00015761,0.17194361,2,11
193,Q5VU43,6.09094982,0.00013012,0.16417801,2,12
194,Q81JE5,5.66577061,0.00027022,0.1764985,2,11
195,O15294,5.00134409,0.00374901,0.19994625,4,10
196,P50542,5.15188172,0.00356373,0.19410384,5,10
197,Q81JF3,5.27777778,0.00954799,0.18947368,12,9
198,A5D8Y4,5.45743728,0.00140848,0.18323619,3,10
199,O43760,6.27732975,0.0,0.15930339999999998,1,10
200,O75592,4.90277778,0.02164867,0.20396601,8,10
201,P11586,6.27732975,0.0,0.15930339999999998,1,10
202,P16333,5.19399642,0.00279201,0.19252997,2,10
203,P31942,5.77016129,0.00078518,0.17330538,2,10
204,P35869,5.71460573,0.00198342,0.1749902,2,10
205,P54259,5.84005376,0.00079196,0.17123129999999998,2,10
206,Q53EL6,6.17249104,0.00113549,0.16200915,2,10
207,Q9HAB8,6.27732975,0.0,0.15930339999999998,1,10
208,Q9Y2G2,6.27732975,0.0,0.15930339999999998,1,10
209,Q9Y605,6.27732975,0.0,0.15930339999999998,1,10
210,Q81JF5,1.0,0.0,1.0,1,1
211,Q8TEL6,1.0,0.0,1.0,1,1
212,Q81JF8,6.37992832,0.00089606,0.15674157,2,11
213,Q05682,5.3812724,0.00179131,0.18582966,2,10
214,Q8WUW1,7.37948029,0.0,0.1355109,1,12
215,Q81JG1,7.07526882,0.0,0.14133739,1,12
216,A8K9Y5,6.07571685,0.00089606,0.16458963,2,11
217,Q81JG2,4.92831541,0.0,0.20290909,1,10
218,Q81JH6,4.68369176,0.01251309,0.21350679,7,9
219,O60315,5.57750896,0.00208715,0.17929151,3,10
220,P55036,5.68324373,0.0,0.17595585,1,10
221,P63261,5.56227599,0.00287621,0.17978252,4,10
222,Q9UKY1,5.08467742,0.00422671,0.19666931,4,10
223,Q81JI5,8.61021505,0.0,0.11614112,1,13
224,P50502,7.61066308,0.00089606,0.1313946,2,12
225,Q81JI6,6.92473118,0.0,0.14440994,1,12
226,Q92845,5.92517921,0.00089606,0.16877127,2,11
227,Q81JI8,5.43817204,0.00089606,0.18388532,2,10
228,P04233,4.43951613,0.02854709,0.22524977,12,9
229,Q8N1G0,6.43772401,0.0,0.1553344,1,11
230,Q81JI9,1.0,0.0,1.0,1,1
231,P22105,1.0,0.0,1.0,1,1
232,Q81JJ0,6.90143369,0.00268697,0.14489743,4,12
