,name,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,Degree,Eccentricity
0,Q4VP87,7.72523364,0.01130116,0.12944592,8,16
1,P13693,6.74299065,0.02182976,0.14830215,3,15
2,P30480,6.90186916,0.00958807,0.14488829,3,15
3,Q14590,8.72429907,0.0,0.11462239,1,17
4,Q86VB7,8.72429907,0.0,0.11462239,1,17
5,Q86Y74,8.72429907,0.0,0.11462239,1,17
6,Q8NHJ6,8.72429907,0.0,0.11462239,1,17
7,Q8NHL6,8.72429907,0.0,0.11462239,1,17
8,Q96GE9,8.72429907,0.0,0.11462239,1,17
9,Q5NE72,1.0,0.0,1.0,1,1
10,Q9UI12,1.0,0.0,1.0,1,1
11,Q5NE79,7.96074766,0.0070134,0.12561634,4,18
12,P55072,8.95981308,0.0,0.11160947,1,19
13,Q6ZV49,7.09252336,0.01359344,0.14099354,3,17
14,Q96ST8,8.45327103,0.00292617,0.1182974,2,19
15,Q9NYI0,8.95981308,0.0,0.11160947,1,19
16,Q5NE81,6.8317757,0.0,0.14637483,1,16
17,Q9H355,5.83271028,0.01625359,0.17144688,3,15
18,Q5NE82,6.45233645,0.00943571,0.15498262,5,16
19,P0C0L4,6.531775700000001,0.00365446,0.15309772,2,16
20,P53804,7.45140187,0.0,0.13420293,1,17
21,P61586,7.45140187,0.0,0.13420293,1,17
22,Q66GS9,5.84205607,0.00805397,0.17117261,2,15
23,Q9UGI8,7.43831776,0.00271274,0.134439,2,17
24,Q5NE83,7.23925234,0.01319484,0.13813581,7,15
25,O43491,8.23831776,0.0,0.12138399999999999,1,16
26,P02462,7.572897200000001,0.00588119,0.13204986,3,16
27,P05412,7.627102799999999,0.0027385,0.13111138,2,15
28,Q14498,8.23831776,0.0,0.12138399999999999,1,16
29,Q86TM6,6.636448599999999,0.01618022,0.15068299999999998,3,16
30,Q86VX2,8.23831776,0.0,0.12138399999999999,1,16
31,Q96QK1,8.23831776,0.0,0.12138399999999999,1,16
32,Q5NE85,8.16074766,0.0,0.12253779,1,17
33,Q8IVI9,7.16168224,0.00186916,0.139632,2,16
34,Q5NE94,7.45420561,0.00560223,0.13415246,4,17
35,O75923,6.46074766,0.00916086,0.15478085,3,16
36,Q13621,8.45327103,0.0,0.1182974,1,18
37,Q64F87,8.45327103,0.0,0.1182974,1,18
38,Q92610,8.45327103,0.0,0.1182974,1,18
39,Q5NE96,7.97383178,0.0,0.12541022,1,17
40,Q9UNE7,6.97476636,0.00186916,0.14337398,2,16
41,Q5NE99,9.97943925,0.02951313,0.10020603,3,19
42,O00165,10.95233645,0.02585,0.09130472,2,20
