protein_b	int_type
Q8G8T7	P13598
Q5NID9	Q15650
Q5NF74	Q96A61
Q5NGC7	Q92547
Q5NIP6	O14773
Q5NEV2	O94842
Q5NES5	Q8IYM9
Q5NEX4	Q8NDV7
Q5NIP6	Q8NDV7
Q5NHD1	O94826
Q5NHH2	Q96GC9
Q5NEY0	Q06643
Q5NF50	Q92956
Q5NGT9	Q96BY9
Q5NI93	Q15025
Q5NH45	Q9HC24
Q5NHH2	Q15363
Q5NH29	Q9ULS5
Q5NIP6	P57088
Q5NID2	Q8IYM9
Q5NFM0	Q14258
Q5NHD1	Q9H5I1
Q5NF08	Q8IYM9
Q5NGF9	Q6PKC3
Q5NHX0	O43396
Q5NFP9	Q9BS26
Q5NEC0	P63313
Q5NHN4	P26651
Q5NFN2	O14907
Q5NE82	P53804
Q5NF50	P26651
Q5NFC7	Q6PKC3
Q5NHY7	Q99598
Q5NEA3	Q9UJ04
Q5NF14	Q92574
Q5NIJ6	Q99598
Q5NEH1	P48995
Q5NI33	P48995
Q5NFG5	Q15650
Q5NEL7	P48995
Q5NIA8	Q9GZM7
Q5NFY4	Q9Y6G1
Q5NET8	Q9BVC6
Q5NEU6	Q86WV6
Q5NET2	Q3YBR2
Q5NF29	Q9P031
Q5NG93	Q9P2M4
Q5NGV7	Q9Y228
Q5NH75	Q15544
Q5NEX4	Q99576
Q5NFR9	Q9NYJ8
Q5NHY6	Q86TM6
Q5NEY3	Q96HP8
Q5NE83	Q86TM6
Q5NHP5	Q8IUX1
Q5NF60	Q9BX26
Q5NFP9	Q16563
Q5NI22	P49589
Q5NF67	Q96PV0
Q5NFY5	Q9UGT4
Q5NHS4	P49589
Q5NFR9	Q7Z7G0
Q5NI74	Q3YBR2
Q5NGF1	P13693
Q5NEW7	Q02763
Q5NGF9	Q9GZM7
Q5NH32	Q9GZM7
Q5NIE3	Q9GZM7
Q5NH32	O43294
Q5NEH1	P01266
Q5NI85	Q02763
Q5NEC0	Q8NA92
Q5NIP5	Q8WUA4
Q5NFD2	P13693
Q5NH37	P0C1Z6
Q5NE82	Q9UGI8
Q5NFN4	Q9NQB0
Q5NGV7	P01137
Q5NFP9	Q10587
Q5NE79	P55072
Q5NHX0	Q9NYB0
Q5NIJ3	Q92575
Q5NEC0	O43914
Q5NEC0	Q15849
Q5NG97	P30480
Q5NHP5	Q9NZE8
Q5NF37	P01023
Q5NID2	P22897
Q5NGW2	O95859
Q5NFN4	Q9NQ94
Q5NIJ6	Q8IZ83
Q5NFA1	Q99550
Q5NIB3	P49902
Q5NHI7	A0M8X1
Q5NFD3	Q9NRA8
Q5NFY7	A0JNV7
Q5NHX5	P30504
Q5NGF1	P01903
Q5NHH2	P30504
Q5NFC1	P01903
Q5NGF1	P11171
Q5NHX0	P30504
Q5NFP9	Q9UI33
Q5NEP4	P61077
Q5NET6	A7E1X5
Q5NGV3	A8K9Y5
Q5NH75	Q08117
Q5NII1	Q09666
Q5NI40	P35611
Q5NFK7	Q7Z6V5
Q5NI31	Q9H2P0
Q5NIP5	A8KAD5
Q5NEC0	P63261
Q5NI89	Q02548
Q5NIA8	A8K3J5
Q5NEC0	A8K451
Q5NET8	Q9H6E5
Q5NGW8	O60667
Q5NH21	Q9BZJ4
Q5NHN8	A8K2F4
Q5NG28	Q13106
Q5NHS4	O00481
Q5NEN3	P30504
Q5NGY2	P30504
Q5NEU6	Q92575
Q5NHD1	Q96KR1
Q5NEY7	Q3MJ13
Q5NHY6	O43709
Q5NFN4	Q9BRG1
Q5NIG6	Q8N1B4
Q5NE83	Q96QK1
Q5NIJ3	Q9UBQ0
