	taxid_a	taxid_b	protein_a	protein_b	int_type	d_method	pubmedid	source_db	conf_score	id	ipr_a	ipr_b	go_a	go_b	a_remapped_from	b_remapped_from
0	632	9606	Q9RI12	Q96FW1	physical association	affinity chromatography technology	16364312	MINT	0.6	16364312Q96FW1Q9RI12affinity chromatography technology	['IPR000719', 'IPR003547', 'IPR008271', 'IPR011009', 'IPR019093']	['IPR003323', 'IPR016615', 'IPR019400', 'IPR030298']	['GO:0000166', 'GO:0004672', 'GO:0004674', 'GO:0005515', 'GO:0005524', 'GO:0005576', 'GO:0006468', 'GO:0009405', 'GO:0016301', 'GO:0016310', 'GO:0016740']	['GO:0002250', 'GO:0002376', 'GO:0004843', 'GO:0005515', 'GO:0005634', 'GO:0005654', 'GO:0005737', 'GO:0005829', 'GO:0006281', 'GO:0006508', 'GO:0006974', 'GO:0008233', 'GO:0008234', 'GO:0016579', 'GO:0016787', 'GO:0019784', 'GO:0031625', 'GO:0036459', 'GO:0043130', 'GO:0070062', 'GO:0071108', 'GO:0071347', 'GO:1901315', 'GO:2000780']		
1	632	9606	Q9RI12	Q96FW1	phosphorylation reaction	protein kinase assay	16364312	MINT	0.6	16364312Q96FW1Q9RI12protein kinase assay	['IPR000719', 'IPR003547', 'IPR008271', 'IPR011009', 'IPR019093']	['IPR003323', 'IPR016615', 'IPR019400', 'IPR030298']	['GO:0000166', 'GO:0004672', 'GO:0004674', 'GO:0005515', 'GO:0005524', 'GO:0005576', 'GO:0006468', 'GO:0009405', 'GO:0016301', 'GO:0016310', 'GO:0016740']	['GO:0002250', 'GO:0002376', 'GO:0004843', 'GO:0005515', 'GO:0005634', 'GO:0005654', 'GO:0005737', 'GO:0005829', 'GO:0006281', 'GO:0006508', 'GO:0006974', 'GO:0008233', 'GO:0008234', 'GO:0016579', 'GO:0016787', 'GO:0019784', 'GO:0031625', 'GO:0036459', 'GO:0043130', 'GO:0070062', 'GO:0071108', 'GO:0071347', 'GO:1901315', 'GO:2000780']		
2	632	9606	Q9RI12	Q96FW1	physical association	anti tag coimmunoprecipitation	16364312	MINT	0.6	16364312Q96FW1Q9RI12anti tag coimmunoprecipitation	['IPR000719', 'IPR003547', 'IPR008271', 'IPR011009', 'IPR019093']	['IPR003323', 'IPR016615', 'IPR019400', 'IPR030298']	['GO:0000166', 'GO:0004672', 'GO:0004674', 'GO:0005515', 'GO:0005524', 'GO:0005576', 'GO:0006468', 'GO:0009405', 'GO:0016301', 'GO:0016310', 'GO:0016740']	['GO:0002250', 'GO:0002376', 'GO:0004843', 'GO:0005515', 'GO:0005634', 'GO:0005654', 'GO:0005737', 'GO:0005829', 'GO:0006281', 'GO:0006508', 'GO:0006974', 'GO:0008233', 'GO:0008234', 'GO:0016579', 'GO:0016787', 'GO:0019784', 'GO:0031625', 'GO:0036459', 'GO:0043130', 'GO:0070062', 'GO:0071108', 'GO:0071347', 'GO:1901315', 'GO:2000780']		
3	632	9606	Q9X6B7	Q9HD26	physical association	two hybrid pooling approach	20711500	IntAct	0.37	20711500Q9HD26Q9X6B7two hybrid pooling approach	['IPR001303', 'IPR004661', 'IPR036409']	['IPR001478', 'IPR036034']	['GO:0008270', 'GO:0008742', 'GO:0019572']	['GO:0000139', 'GO:0005109', 'GO:0005515', 'GO:0005737', 'GO:0005765', 'GO:0005794', 'GO:0005886', 'GO:0006888', 'GO:0006893', 'GO:0007289', 'GO:0008022', 'GO:0010360', 'GO:0014069', 'GO:0015031', 'GO:0016020', 'GO:0030054', 'GO:0030140', 'GO:0030425', 'GO:0030660', 'GO:0030695', 'GO:0042803', 'GO:0042995', 'GO:0043004', 'GO:0043234', 'GO:0044325', 'GO:0045176', 'GO:0045202', 'GO:0045211', 'GO:0050790', 'GO:0051260', 'GO:2000009']		
4	632	9606	Q8ZH69	Q13588	physical association	two hybrid pooling approach	20711500	IntAct	0.37	20711500Q13588Q8ZH69two hybrid pooling approach	['IPR001451', 'IPR005664', 'IPR011004', 'IPR018357', 'IPR023180', 'IPR037133']	['IPR000980', 'IPR001452', 'IPR035645', 'IPR036028', 'IPR036860']	['GO:0005737', 'GO:0008652', 'GO:0008666', 'GO:0009085', 'GO:0009089', 'GO:0016740', 'GO:0016746', 'GO:0019877']	['GO:0004715', 'GO:0005070', 'GO:0005102', 'GO:0005515', 'GO:0005737', 'GO:0005829', 'GO:0007169', 'GO:0007265', 'GO:0007267', 'GO:0009967', 'GO:0016477', 'GO:0030154', 'GO:0031234', 'GO:0038083', 'GO:0042127', 'GO:0045087']		
5	632	9606	Q7CKC3	O14908	physical association	two hybrid pooling approach	20711500	IntAct	0.37	20711500O14908Q7CKC3two hybrid pooling approach	['IPR000802']	['IPR001478', 'IPR017379', 'IPR036034']	['GO:0005886', 'GO:0015105', 'GO:0015700', 'GO:0016020', 'GO:0016021', 'GO:0046685']	['GO:0003779', 'GO:0005102', 'GO:0005515', 'GO:0005737', 'GO:0005829', 'GO:0005903', 'GO:0005938', 'GO:0006605', 'GO:0007186', 'GO:0007268', 'GO:0008021', 'GO:0012506', 'GO:0014047', 'GO:0016020', 'GO:0017022', 'GO:0030139', 'GO:0030165', 'GO:0030511', 'GO:0031410', 'GO:0031647', 'GO:0032435', 'GO:0032467', 'GO:0042803', 'GO:0043197', 'GO:0043198', 'GO:0043542', 'GO:0045296', 'GO:0048167', 'GO:0070062']		
6	632	9606	Q7CKP7	P34897	physical association	two hybrid pooling approach	20711500	IntAct	0.37	20711500P34897Q7CKP7two hybrid pooling approach	['IPR013087']	['IPR001085', 'IPR015421', 'IPR015422', 'IPR015424', 'IPR019798']	['GO:0003676']	['GO:0003682', 'GO:0003824', 'GO:0004372', 'GO:0005515', 'GO:0005634', 'GO:0005737', 'GO:0005739', 'GO:0005743', 'GO:0005758', 'GO:0005759', 'GO:0006544', 'GO:0006545', 'GO:0006563', 'GO:0006564', 'GO:0006730', 'GO:0008284', 'GO:0008732', 'GO:0015630', 'GO:0016020', 'GO:0016597', 'GO:0016740', 'GO:0019264', 'GO:0030170', 'GO:0034340', 'GO:0035999', 'GO:0042645', 'GO:0042802', 'GO:0046653', 'GO:0046655', 'GO:0051262', 'GO:0051289', 'GO:0070062', 'GO:0070536', 'GO:0070552']		
7	632	9606	Q7CI00	P08754	physical association	two hybrid pooling approach	20711500	IntAct	0.37	20711500P08754Q7CI00two hybrid pooling approach	['IPR001029', 'IPR001492']	['IPR001019', 'IPR001408', 'IPR011025', 'IPR027417']	['GO:0005198', 'GO:0005576', 'GO:0009288', 'GO:0009420', 'GO:0071973']	['GO:0000166', 'GO:0001664', 'GO:0003924', 'GO:0004871', 'GO:0005515', 'GO:0005525', 'GO:0005634', 'GO:0005730', 'GO:0005737', 'GO:0005765', 'GO:0005794', 'GO:0005813', 'GO:0005815', 'GO:0005834', 'GO:0005856', 'GO:0005886', 'GO:0006457', 'GO:0006810', 'GO:0006906', 'GO:0007049', 'GO:0007165', 'GO:0007186', 'GO:0007188', 'GO:0007193', 'GO:0007194', 'GO:0007212', 'GO:0016020', 'GO:0016239', 'GO:0019001', 'GO:0019003', 'GO:0019904', 'GO:0030496', 'GO:0031683', 'GO:0031821', 'GO:0032794', 'GO:0042588', 'GO:0045121', 'GO:0046039', 'GO:0046872', 'GO:0051301', 'GO:0070062', 'GO:0000139', 'GO:0005789']		
8	632	9606	Q8ZD12	Q9HCC8	physical association	two hybrid pooling approach	20711500	IntAct	0.37	20711500Q8ZD12Q9HCC8two hybrid pooling approach	['IPR000086', 'IPR015797', 'IPR024195']	['IPR004129', 'IPR017946', 'IPR030395']	['GO:0016787', 'GO:0016817', 'GO:0046872']	['GO:0005737', 'GO:0005856', 'GO:0005884', 'GO:0005886', 'GO:0006629', 'GO:0008081', 'GO:0008889', 'GO:0016020', 'GO:0016021', 'GO:0016787', 'GO:0030027', 'GO:0045669', 'GO:0046872', 'GO:0047394', 'GO:0090527']		
9	632	9606	Q8ZJ16	Q8TDU6	physical association	two hybrid pooling approach	20711500	IntAct	0.37	20711500Q8TDU6Q8ZJ16two hybrid pooling approach	['IPR006197', 'IPR006199', 'IPR006200', 'IPR015927', 'IPR036286', 'IPR036388', 'IPR036390']	['IPR000276', 'IPR017452']	['GO:0003677', 'GO:0004252', 'GO:0006260', 'GO:0006281', 'GO:0006351', 'GO:0006355', 'GO:0006508', 'GO:0006974', 'GO:0009432', 'GO:0016787', 'GO:0045892']	['GO:0004871', 'GO:0004930', 'GO:0005737', 'GO:0005886', 'GO:0007165', 'GO:0007186', 'GO:0016020', 'GO:0016021', 'GO:0038181', 'GO:0038182', 'GO:0038184', 'GO:2000810']		
10	632	9606	Q8D169	P14314	physical association	two hybrid pooling approach	20711500	IntAct	0.37	20711500P14314Q8D169two hybrid pooling approach	['IPR027417']	['IPR002048', 'IPR002172', 'IPR009011', 'IPR011992', 'IPR018247', 'IPR026874', 'IPR028146', 'IPR036055', 'IPR036607']	['GO:0004527', 'GO:0090305']	['GO:0005080', 'GO:0005509', 'GO:0005622', 'GO:0005783', 'GO:0005788', 'GO:0006457', 'GO:0006491', 'GO:0035556', 'GO:0043687', 'GO:0044267', 'GO:0044325', 'GO:0046872', 'GO:0051219']		
11	632	9606	Q8D0K9	Q9HD26	physical association	two hybrid pooling approach	20711500	IntAct	0.37	20711500Q8D0K9Q9HD26two hybrid pooling approach	['IPR000014', 'IPR002078', 'IPR002912', 'IPR003593', 'IPR009057', 'IPR013767', 'IPR025662', 'IPR025943', 'IPR025944', 'IPR027417', 'IPR030828', 'IPR035965']	['IPR001478', 'IPR036034']	['GO:0000166', 'GO:0003677', 'GO:0005524', 'GO:0006351', 'GO:0006355', 'GO:0008134']	['GO:0000139', 'GO:0005109', 'GO:0005515', 'GO:0005737', 'GO:0005765', 'GO:0005794', 'GO:0005886', 'GO:0006888', 'GO:0006893', 'GO:0007289', 'GO:0008022', 'GO:0010360', 'GO:0014069', 'GO:0015031', 'GO:0016020', 'GO:0030054', 'GO:0030140', 'GO:0030425', 'GO:0030660', 'GO:0030695', 'GO:0042803', 'GO:0042995', 'GO:0043004', 'GO:0043234', 'GO:0044325', 'GO:0045176', 'GO:0045202', 'GO:0045211', 'GO:0050790', 'GO:0051260', 'GO:2000009']		
12	632	9606	Q7CFW2	Q9HCC8	physical association	two hybrid pooling approach	20711500	IntAct	0.37	20711500Q7CFW2Q9HCC8two hybrid pooling approach	['IPR000292', 'IPR023271', 'IPR024002']	['IPR004129', 'IPR017946', 'IPR030395']	['GO:0005887', 'GO:0015513', 'GO:0015706', 'GO:0015707', 'GO:0016020', 'GO:0022857', 'GO:0055085']	['GO:0005737', 'GO:0005856', 'GO:0005884', 'GO:0005886', 'GO:0006629', 'GO:0008081', 'GO:0008889', 'GO:0016020', 'GO:0016021', 'GO:0016787', 'GO:0030027', 'GO:0045669', 'GO:0046872', 'GO:0047394', 'GO:0090527']		
13	632	9606	Q8D0N9	Q9HCC8	physical association	two hybrid pooling approach	20711500	IntAct	0.37	20711500Q8D0N9Q9HCC8two hybrid pooling approach	['IPR003399']	['IPR004129', 'IPR017946', 'IPR030395']	['GO:0016020', 'GO:0016021']	['GO:0005737', 'GO:0005856', 'GO:0005884', 'GO:0005886', 'GO:0006629', 'GO:0008081', 'GO:0008889', 'GO:0016020', 'GO:0016021', 'GO:0016787', 'GO:0030027', 'GO:0045669', 'GO:0046872', 'GO:0047394', 'GO:0090527']		
14	632	9606	Q7CHR2	P04150	physical association	two hybrid pooling approach	20711500	IntAct	0.37	20711500P04150Q7CHR2two hybrid pooling approach	['IPR000808', 'IPR019591', 'IPR027417', 'IPR033756', 'IPR034904']	['IPR000536', 'IPR001409', 'IPR001628', 'IPR001723', 'IPR013088', 'IPR035500']	['GO:0000166', 'GO:0005524', 'GO:0016787', 'GO:0016887', 'GO:0046872', 'GO:0051536']	['GO:0000122', 'GO:0000978', 'GO:0001047', 'GO:0001077', 'GO:0003677', 'GO:0003700', 'GO:0003707', 'GO:0003723', 'GO:0004883', 'GO:0005496', 'GO:0005515', 'GO:0005634', 'GO:0005654', 'GO:0005737', 'GO:0005739', 'GO:0005759', 'GO:0005815', 'GO:0005819', 'GO:0005829', 'GO:0005856', 'GO:0006351', 'GO:0006355', 'GO:0006366', 'GO:0006367', 'GO:0006915', 'GO:0007049', 'GO:0007059', 'GO:0007165', 'GO:0008270', 'GO:0008289', 'GO:0016569', 'GO:0016607', 'GO:0019901', 'GO:0032183', 'GO:0038051', 'GO:0042921', 'GO:0043234', 'GO:0043401', 'GO:0043402', 'GO:0043565', 'GO:0045944', 'GO:0046872', 'GO:0051301', 'GO:0051879', 'GO:0071383', 'GO:0071385', 'GO:0071549', 'GO:0071560', 'GO:1990239']		
15	632	9606	Q8D0C5	Q9UKJ3	physical association	two hybrid pooling approach	20711500	IntAct	0.37	20711500Q8D0C5Q9UKJ3two hybrid pooling approach	['IPR000259', 'IPR008966', 'IPR036937']	['IPR000467', 'IPR013087', 'IPR022755', 'IPR036236']	['GO:0007155', 'GO:0009289']	['GO:0003676', 'GO:0003723', 'GO:0005515', 'GO:0005575', 'GO:0008150', 'GO:0046872']		
16	632	9606	Q74YG7	Q9Y3E1	physical association	two hybrid pooling approach	20711500	IntAct	0.37	20711500Q74YG7Q9Y3E1two hybrid pooling approach		['IPR000313', 'IPR035496']		['GO:0005576', 'GO:0005634', 'GO:0005654', 'GO:0005737', 'GO:0005829', 'GO:0007026', 'GO:0008017', 'GO:0008083', 'GO:0008283', 'GO:0010469', 'GO:0015631', 'GO:0031175', 'GO:0046785']	Q74YG7	
17	632	9606	Q8CKD1	P00390	physical association	two hybrid pooling approach	20711500	IntAct	0.37	20711500P00390Q8CKD1two hybrid pooling approach	['IPR001123']	['IPR001100', 'IPR004099', 'IPR006322', 'IPR012999', 'IPR016156', 'IPR023753', 'IPR036188']	['GO:0005886', 'GO:0006865', 'GO:0016020', 'GO:0016021']	['GO:0004362', 'GO:0005737', 'GO:0005739', 'GO:0005759', 'GO:0005829', 'GO:0006749', 'GO:0009055', 'GO:0009897', 'GO:0015949', 'GO:0016491', 'GO:0016668', 'GO:0022900', 'GO:0034599', 'GO:0045454', 'GO:0050660', 'GO:0050661', 'GO:0055114', 'GO:0070062', 'GO:0098869']		
