	taxid_a	taxid_b	protein_a	protein_b	int_type	d_method	pubmedid	source_db	conf_score	id	ipr_a	ipr_b	go_a	go_b	a_remapped_from	b_remapped_from
0	1392	9606	P40136	P0DP23	direct interaction	x-ray crystallography	11807546	IntAct	0.87	11807546P40136P62158x-ray crystallography	['IPR003541', 'IPR005165', 'IPR014781', 'IPR024079', 'IPR035099', 'IPR037017']	['IPR002048', 'IPR011992', 'IPR018247']	['GO:0000166', 'GO:0003824', 'GO:0004016', 'GO:0005516', 'GO:0005524', 'GO:0005576', 'GO:0005829', 'GO:0005886', 'GO:0006171', 'GO:0006508', 'GO:0008237', 'GO:0008294', 'GO:0009405', 'GO:0010008', 'GO:0016829', 'GO:0046872', 'GO:0052007', 'GO:0090729', 'GO:1902494']	['GO:0000165', 'GO:0000922', 'GO:0002027', 'GO:0002576', 'GO:0005088', 'GO:0005509', 'GO:0005513', 'GO:0005515', 'GO:0005576', 'GO:0005634', 'GO:0005654', 'GO:0005737', 'GO:0005813', 'GO:0005819', 'GO:0005829', 'GO:0005856', 'GO:0005876', 'GO:0005886', 'GO:0005980', 'GO:0006479', 'GO:0006936', 'GO:0007186', 'GO:0007223', 'GO:0008179', 'GO:0008440', 'GO:0010800', 'GO:0010801', 'GO:0010880', 'GO:0010881', 'GO:0015276', 'GO:0019855', 'GO:0019901', 'GO:0019904', 'GO:0021762', 'GO:0022400', 'GO:0030017', 'GO:0030801', 'GO:0030819', 'GO:0031432', 'GO:0031954', 'GO:0031982', 'GO:0031997', 'GO:0032465', 'GO:0032516', 'GO:0035307', 'GO:0038095', 'GO:0043234', 'GO:0043539', 'GO:0043647', 'GO:0044325', 'GO:0046872', 'GO:0050999', 'GO:0051343', 'GO:0051592', 'GO:0055085', 'GO:0055117', 'GO:0060314', 'GO:0060315', 'GO:0060316', 'GO:0070062', 'GO:0071902', 'GO:0072542', 'GO:0097718', 'GO:1901844', 'GO:1902494', 'GO:0034704']		P62158
1	1392	9606	P40136	P0DP23	direct interaction	x-ray crystallography	15719022	IntAct	0.87	15719022P40136P62158x-ray crystallography	['IPR003541', 'IPR005165', 'IPR014781', 'IPR024079', 'IPR035099', 'IPR037017']	['IPR002048', 'IPR011992', 'IPR018247']	['GO:0000166', 'GO:0003824', 'GO:0004016', 'GO:0005516', 'GO:0005524', 'GO:0005576', 'GO:0005829', 'GO:0005886', 'GO:0006171', 'GO:0006508', 'GO:0008237', 'GO:0008294', 'GO:0009405', 'GO:0010008', 'GO:0016829', 'GO:0046872', 'GO:0052007', 'GO:0090729', 'GO:1902494']	['GO:0000165', 'GO:0000922', 'GO:0002027', 'GO:0002576', 'GO:0005088', 'GO:0005509', 'GO:0005513', 'GO:0005515', 'GO:0005576', 'GO:0005634', 'GO:0005654', 'GO:0005737', 'GO:0005813', 'GO:0005819', 'GO:0005829', 'GO:0005856', 'GO:0005876', 'GO:0005886', 'GO:0005980', 'GO:0006479', 'GO:0006936', 'GO:0007186', 'GO:0007223', 'GO:0008179', 'GO:0008440', 'GO:0010800', 'GO:0010801', 'GO:0010880', 'GO:0010881', 'GO:0015276', 'GO:0019855', 'GO:0019901', 'GO:0019904', 'GO:0021762', 'GO:0022400', 'GO:0030017', 'GO:0030801', 'GO:0030819', 'GO:0031432', 'GO:0031954', 'GO:0031982', 'GO:0031997', 'GO:0032465', 'GO:0032516', 'GO:0035307', 'GO:0038095', 'GO:0043234', 'GO:0043539', 'GO:0043647', 'GO:0044325', 'GO:0046872', 'GO:0050999', 'GO:0051343', 'GO:0051592', 'GO:0055085', 'GO:0055117', 'GO:0060314', 'GO:0060315', 'GO:0060316', 'GO:0070062', 'GO:0071902', 'GO:0072542', 'GO:0097718', 'GO:1901844', 'GO:1902494', 'GO:0034704']		P62158
2	1392	9606	P40136	P0DP23	direct interaction	x-ray crystallography	15063758	IntAct	0.87	15063758P40136P62158x-ray crystallography	['IPR003541', 'IPR005165', 'IPR014781', 'IPR024079', 'IPR035099', 'IPR037017']	['IPR002048', 'IPR011992', 'IPR018247']	['GO:0000166', 'GO:0003824', 'GO:0004016', 'GO:0005516', 'GO:0005524', 'GO:0005576', 'GO:0005829', 'GO:0005886', 'GO:0006171', 'GO:0006508', 'GO:0008237', 'GO:0008294', 'GO:0009405', 'GO:0010008', 'GO:0016829', 'GO:0046872', 'GO:0052007', 'GO:0090729', 'GO:1902494']	['GO:0000165', 'GO:0000922', 'GO:0002027', 'GO:0002576', 'GO:0005088', 'GO:0005509', 'GO:0005513', 'GO:0005515', 'GO:0005576', 'GO:0005634', 'GO:0005654', 'GO:0005737', 'GO:0005813', 'GO:0005819', 'GO:0005829', 'GO:0005856', 'GO:0005876', 'GO:0005886', 'GO:0005980', 'GO:0006479', 'GO:0006936', 'GO:0007186', 'GO:0007223', 'GO:0008179', 'GO:0008440', 'GO:0010800', 'GO:0010801', 'GO:0010880', 'GO:0010881', 'GO:0015276', 'GO:0019855', 'GO:0019901', 'GO:0019904', 'GO:0021762', 'GO:0022400', 'GO:0030017', 'GO:0030801', 'GO:0030819', 'GO:0031432', 'GO:0031954', 'GO:0031982', 'GO:0031997', 'GO:0032465', 'GO:0032516', 'GO:0035307', 'GO:0038095', 'GO:0043234', 'GO:0043539', 'GO:0043647', 'GO:0044325', 'GO:0046872', 'GO:0050999', 'GO:0051343', 'GO:0051592', 'GO:0055085', 'GO:0055117', 'GO:0060314', 'GO:0060315', 'GO:0060316', 'GO:0070062', 'GO:0071902', 'GO:0072542', 'GO:0097718', 'GO:1901844', 'GO:1902494', 'GO:0034704']		P62158
3	1392	9606	P40136	P0DP23	direct interaction	x-ray crystallography	14978283	IntAct	0.87	14978283P40136P62158x-ray crystallography	['IPR003541', 'IPR005165', 'IPR014781', 'IPR024079', 'IPR035099', 'IPR037017']	['IPR002048', 'IPR011992', 'IPR018247']	['GO:0000166', 'GO:0003824', 'GO:0004016', 'GO:0005516', 'GO:0005524', 'GO:0005576', 'GO:0005829', 'GO:0005886', 'GO:0006171', 'GO:0006508', 'GO:0008237', 'GO:0008294', 'GO:0009405', 'GO:0010008', 'GO:0016829', 'GO:0046872', 'GO:0052007', 'GO:0090729', 'GO:1902494']	['GO:0000165', 'GO:0000922', 'GO:0002027', 'GO:0002576', 'GO:0005088', 'GO:0005509', 'GO:0005513', 'GO:0005515', 'GO:0005576', 'GO:0005634', 'GO:0005654', 'GO:0005737', 'GO:0005813', 'GO:0005819', 'GO:0005829', 'GO:0005856', 'GO:0005876', 'GO:0005886', 'GO:0005980', 'GO:0006479', 'GO:0006936', 'GO:0007186', 'GO:0007223', 'GO:0008179', 'GO:0008440', 'GO:0010800', 'GO:0010801', 'GO:0010880', 'GO:0010881', 'GO:0015276', 'GO:0019855', 'GO:0019901', 'GO:0019904', 'GO:0021762', 'GO:0022400', 'GO:0030017', 'GO:0030801', 'GO:0030819', 'GO:0031432', 'GO:0031954', 'GO:0031982', 'GO:0031997', 'GO:0032465', 'GO:0032516', 'GO:0035307', 'GO:0038095', 'GO:0043234', 'GO:0043539', 'GO:0043647', 'GO:0044325', 'GO:0046872', 'GO:0050999', 'GO:0051343', 'GO:0051592', 'GO:0055085', 'GO:0055117', 'GO:0060314', 'GO:0060315', 'GO:0060316', 'GO:0070062', 'GO:0071902', 'GO:0072542', 'GO:0097718', 'GO:1901844', 'GO:1902494', 'GO:0034704']		P62158
4	1392	9606	P40136	P0DP23	direct interaction	comigration in non denaturing gel electrophoresis	19651602	DIP	0.87	19651602P40136P62158comigration in non denaturing gel electrophoresis	['IPR003541', 'IPR005165', 'IPR014781', 'IPR024079', 'IPR035099', 'IPR037017']	['IPR002048', 'IPR011992', 'IPR018247']	['GO:0000166', 'GO:0003824', 'GO:0004016', 'GO:0005516', 'GO:0005524', 'GO:0005576', 'GO:0005829', 'GO:0005886', 'GO:0006171', 'GO:0006508', 'GO:0008237', 'GO:0008294', 'GO:0009405', 'GO:0010008', 'GO:0016829', 'GO:0046872', 'GO:0052007', 'GO:0090729', 'GO:1902494']	['GO:0000165', 'GO:0000922', 'GO:0002027', 'GO:0002576', 'GO:0005088', 'GO:0005509', 'GO:0005513', 'GO:0005515', 'GO:0005576', 'GO:0005634', 'GO:0005654', 'GO:0005737', 'GO:0005813', 'GO:0005819', 'GO:0005829', 'GO:0005856', 'GO:0005876', 'GO:0005886', 'GO:0005980', 'GO:0006479', 'GO:0006936', 'GO:0007186', 'GO:0007223', 'GO:0008179', 'GO:0008440', 'GO:0010800', 'GO:0010801', 'GO:0010880', 'GO:0010881', 'GO:0015276', 'GO:0019855', 'GO:0019901', 'GO:0019904', 'GO:0021762', 'GO:0022400', 'GO:0030017', 'GO:0030801', 'GO:0030819', 'GO:0031432', 'GO:0031954', 'GO:0031982', 'GO:0031997', 'GO:0032465', 'GO:0032516', 'GO:0035307', 'GO:0038095', 'GO:0043234', 'GO:0043539', 'GO:0043647', 'GO:0044325', 'GO:0046872', 'GO:0050999', 'GO:0051343', 'GO:0051592', 'GO:0055085', 'GO:0055117', 'GO:0060314', 'GO:0060315', 'GO:0060316', 'GO:0070062', 'GO:0071902', 'GO:0072542', 'GO:0097718', 'GO:1901844', 'GO:1902494', 'GO:0034704']		P62158
5	1392	9606	P40136	P0DP23	direct interaction	cosedimentation in solution	19651602	DIP	0.87	19651602P40136P62158cosedimentation in solution	['IPR003541', 'IPR005165', 'IPR014781', 'IPR024079', 'IPR035099', 'IPR037017']	['IPR002048', 'IPR011992', 'IPR018247']	['GO:0000166', 'GO:0003824', 'GO:0004016', 'GO:0005516', 'GO:0005524', 'GO:0005576', 'GO:0005829', 'GO:0005886', 'GO:0006171', 'GO:0006508', 'GO:0008237', 'GO:0008294', 'GO:0009405', 'GO:0010008', 'GO:0016829', 'GO:0046872', 'GO:0052007', 'GO:0090729', 'GO:1902494']	['GO:0000165', 'GO:0000922', 'GO:0002027', 'GO:0002576', 'GO:0005088', 'GO:0005509', 'GO:0005513', 'GO:0005515', 'GO:0005576', 'GO:0005634', 'GO:0005654', 'GO:0005737', 'GO:0005813', 'GO:0005819', 'GO:0005829', 'GO:0005856', 'GO:0005876', 'GO:0005886', 'GO:0005980', 'GO:0006479', 'GO:0006936', 'GO:0007186', 'GO:0007223', 'GO:0008179', 'GO:0008440', 'GO:0010800', 'GO:0010801', 'GO:0010880', 'GO:0010881', 'GO:0015276', 'GO:0019855', 'GO:0019901', 'GO:0019904', 'GO:0021762', 'GO:0022400', 'GO:0030017', 'GO:0030801', 'GO:0030819', 'GO:0031432', 'GO:0031954', 'GO:0031982', 'GO:0031997', 'GO:0032465', 'GO:0032516', 'GO:0035307', 'GO:0038095', 'GO:0043234', 'GO:0043539', 'GO:0043647', 'GO:0044325', 'GO:0046872', 'GO:0050999', 'GO:0051343', 'GO:0051592', 'GO:0055085', 'GO:0055117', 'GO:0060314', 'GO:0060315', 'GO:0060316', 'GO:0070062', 'GO:0071902', 'GO:0072542', 'GO:0097718', 'GO:1901844', 'GO:1902494', 'GO:0034704']		P62158
6	1392	9606	P13423	P58335	direct interaction	fluorescent resonance energy transfer	15044490	IntAct	0.79	15044490P13423P58335fluorescent resonance energy transfer	['IPR003896', 'IPR011658', 'IPR027439', 'IPR035088', 'IPR035331', 'IPR037149', 'IPR037524']	['IPR002035', 'IPR008399', 'IPR008400', 'IPR013783', 'IPR017360', 'IPR036465']	['GO:0000122', 'GO:0001933', 'GO:0005515', 'GO:0005576', 'GO:0005615', 'GO:0005886', 'GO:0009405', 'GO:0010008', 'GO:0010629', 'GO:0035897', 'GO:0042802', 'GO:0043409', 'GO:0044533', 'GO:0046872', 'GO:0051260', 'GO:0061136', 'GO:0090729', 'GO:1903140', 'GO:0097300']	['GO:0004872', 'GO:0005515', 'GO:0005576', 'GO:0005783', 'GO:0005789', 'GO:0005886', 'GO:0009897', 'GO:0009986', 'GO:0010008', 'GO:0016020', 'GO:0016021', 'GO:0022414', 'GO:0046872', 'GO:1901998']		
7	1392	9606	P13423	P58335	direct interaction	x-ray crystallography	15326297	IntAct	0.79	15326297P13423P58335x-ray crystallography	['IPR003896', 'IPR011658', 'IPR027439', 'IPR035088', 'IPR035331', 'IPR037149', 'IPR037524']	['IPR002035', 'IPR008399', 'IPR008400', 'IPR013783', 'IPR017360', 'IPR036465']	['GO:0000122', 'GO:0001933', 'GO:0005515', 'GO:0005576', 'GO:0005615', 'GO:0005886', 'GO:0009405', 'GO:0010008', 'GO:0010629', 'GO:0035897', 'GO:0042802', 'GO:0043409', 'GO:0044533', 'GO:0046872', 'GO:0051260', 'GO:0061136', 'GO:0090729', 'GO:1903140', 'GO:0097300']	['GO:0004872', 'GO:0005515', 'GO:0005576', 'GO:0005783', 'GO:0005789', 'GO:0005886', 'GO:0009897', 'GO:0009986', 'GO:0010008', 'GO:0016020', 'GO:0016021', 'GO:0022414', 'GO:0046872', 'GO:1901998']		
8	1392	9606	P13423	P58335	direct interaction	surface plasmon resonance	15044490	IntAct	0.79	15044490P13423P58335surface plasmon resonance	['IPR003896', 'IPR011658', 'IPR027439', 'IPR035088', 'IPR035331', 'IPR037149', 'IPR037524']	['IPR002035', 'IPR008399', 'IPR008400', 'IPR013783', 'IPR017360', 'IPR036465']	['GO:0000122', 'GO:0001933', 'GO:0005515', 'GO:0005576', 'GO:0005615', 'GO:0005886', 'GO:0009405', 'GO:0010008', 'GO:0010629', 'GO:0035897', 'GO:0042802', 'GO:0043409', 'GO:0044533', 'GO:0046872', 'GO:0051260', 'GO:0061136', 'GO:0090729', 'GO:1903140', 'GO:0097300']	['GO:0004872', 'GO:0005515', 'GO:0005576', 'GO:0005783', 'GO:0005789', 'GO:0005886', 'GO:0009897', 'GO:0009986', 'GO:0010008', 'GO:0016020', 'GO:0016021', 'GO:0022414', 'GO:0046872', 'GO:1901998']		
9	1392	9606	P13423	P58335	direct interaction	x-ray crystallography	15243628	IntAct	0.79	15243628P13423P58335x-ray crystallography	['IPR003896', 'IPR011658', 'IPR027439', 'IPR035088', 'IPR035331', 'IPR037149', 'IPR037524']	['IPR002035', 'IPR008399', 'IPR008400', 'IPR013783', 'IPR017360', 'IPR036465']	['GO:0000122', 'GO:0001933', 'GO:0005515', 'GO:0005576', 'GO:0005615', 'GO:0005886', 'GO:0009405', 'GO:0010008', 'GO:0010629', 'GO:0035897', 'GO:0042802', 'GO:0043409', 'GO:0044533', 'GO:0046872', 'GO:0051260', 'GO:0061136', 'GO:0090729', 'GO:1903140', 'GO:0097300']	['GO:0004872', 'GO:0005515', 'GO:0005576', 'GO:0005783', 'GO:0005789', 'GO:0005886', 'GO:0009897', 'GO:0009986', 'GO:0010008', 'GO:0016020', 'GO:0016021', 'GO:0022414', 'GO:0046872', 'GO:1901998']		
