	taxid_a	taxid_b	protein_a	protein_b	int_type	d_method	pubmedid	source_db	conf_score	id	ipr_a	ipr_b	go_a	go_b	a_remapped_from	b_remapped_from
0	119856	9606	Q8G8T7	P13598	physical association	two hybrid pooling approach	20711500	IntAct	0.37	20711500P13598Q8G8T7two hybrid pooling approach	['IPR000319', 'IPR000534', 'IPR011534', 'IPR012280', 'IPR036291']	['IPR003987', 'IPR003988', 'IPR013768', 'IPR013783', 'IPR015653', 'IPR036179']	['GO:0003942', 'GO:0004073', 'GO:0005737', 'GO:0006520', 'GO:0008652', 'GO:0009086', 'GO:0009088', 'GO:0009089', 'GO:0009097', 'GO:0016620', 'GO:0046983', 'GO:0050661', 'GO:0051287', 'GO:0055114']	['GO:0001931', 'GO:0002223', 'GO:0005178', 'GO:0005886', 'GO:0005887', 'GO:0007155', 'GO:0016020', 'GO:0016021', 'GO:0030198', 'GO:0032154', 'GO:0050776', 'GO:0070062', 'GO:0071944', 'GO:0098609']		
1	177416	9606	Q5NID9	Q15650	physical association	two hybrid pooling approach	20711500	IntAct	0.37	20711500Q15650Q5NID9two hybrid pooling approach	['IPR000795', 'IPR004160', 'IPR004161', 'IPR004541', 'IPR005225', 'IPR009000', 'IPR009001', 'IPR027417', 'IPR031157', 'IPR033720']	['IPR007374', 'IPR009349', 'IPR015947']	['GO:0000166', 'GO:0003746', 'GO:0003924', 'GO:0005525', 'GO:0005622', 'GO:0005737', 'GO:0006412', 'GO:0006414']	['GO:0002020', 'GO:0003713', 'GO:0005515', 'GO:0005634', 'GO:0005654', 'GO:0005737', 'GO:0005815', 'GO:0005829', 'GO:0005856', 'GO:0006351', 'GO:0006355', 'GO:0008270', 'GO:0016604', 'GO:0016922', 'GO:0019901', 'GO:0030331', 'GO:0030520', 'GO:0031594', 'GO:0035035', 'GO:0043234', 'GO:0044389', 'GO:0045661', 'GO:0045893', 'GO:0046872', 'GO:0099053', 'GO:1901998', 'GO:0005813']		
2	177416	9606	Q5NF74	Q96A61	physical association	two hybrid pooling approach	20711500	IntAct	0.37	20711500Q5NF74Q96A61two hybrid pooling approach	['IPR005474', 'IPR005475', 'IPR005478', 'IPR009014', 'IPR020826', 'IPR029061', 'IPR033247', 'IPR033248']	['IPR000315', 'IPR001841', 'IPR013083', 'IPR017907']	['GO:0003824', 'GO:0004802', 'GO:0008152', 'GO:0016740', 'GO:0046872']	['GO:0005622', 'GO:0008270', 'GO:0046872', 'GO:0051092']		
3	177416	9606	Q5NGC7	Q92547	physical association	two hybrid pooling approach	20711500	IntAct	0.37	20711500Q5NGC7Q92547two hybrid pooling approach	['IPR021956']	['IPR001357', 'IPR035960', 'IPR036420']		['GO:0000794', 'GO:0000922', 'GO:0001673', 'GO:0003677', 'GO:0005515', 'GO:0005634', 'GO:0005654', 'GO:0005694', 'GO:0005737', 'GO:0005815', 'GO:0005856', 'GO:0006259', 'GO:0006260', 'GO:0006270', 'GO:0006281', 'GO:0006974', 'GO:0007095', 'GO:0008022', 'GO:0010212', 'GO:0015629', 'GO:0016604', 'GO:0016605', 'GO:0033314', 'GO:0042802', 'GO:1901796']	Q5NGC7	
4	177416	9606	Q5NIP6	O14773	physical association	two hybrid pooling approach	20711500	IntAct	0.37	20711500O14773Q5NIP6two hybrid pooling approach	['IPR000120', 'IPR004412', 'IPR020556', 'IPR023631', 'IPR036928']	['IPR009020', 'IPR015366', 'IPR030400', 'IPR036852']	['GO:0000166', 'GO:0004040', 'GO:0005524', 'GO:0006412', 'GO:0016874', 'GO:0030956', 'GO:0050567']	['GO:0004175', 'GO:0004252', 'GO:0005515', 'GO:0005739', 'GO:0005764', 'GO:0006508', 'GO:0006629', 'GO:0007040', 'GO:0007399', 'GO:0007417', 'GO:0008233', 'GO:0008236', 'GO:0008240', 'GO:0016787', 'GO:0030163', 'GO:0030855', 'GO:0036498', 'GO:0042277', 'GO:0042470', 'GO:0043171', 'GO:0043202', 'GO:0045453', 'GO:0046872', 'GO:0050885', 'GO:0070062']		
5	177416	9606	Q5NEV2	O94842	physical association	two hybrid pooling approach	20711500	IntAct	0.37	20711500O94842Q5NEV2two hybrid pooling approach		['IPR009071', 'IPR036910']		['GO:0000785', 'GO:0003677', 'GO:0005515', 'GO:0005634', 'GO:0072357', 'GO:0000784']	Q5NEV2	
6	177416	9606	Q5NES5	Q8IYM9	physical association	two hybrid pooling approach	20711500	IntAct	0.37	20711500Q5NES5Q8IYM9two hybrid pooling approach		['IPR000315', 'IPR001841', 'IPR001870', 'IPR003877', 'IPR003879', 'IPR013083', 'IPR013320', 'IPR017907', 'IPR027370', 'IPR035827']		['GO:0003700', 'GO:0003714', 'GO:0005515', 'GO:0005622', 'GO:0005634', 'GO:0005654', 'GO:0005737', 'GO:0005794', 'GO:0005829', 'GO:0006351', 'GO:0006355', 'GO:0006955', 'GO:0008270', 'GO:0009615', 'GO:0010508', 'GO:0015030', 'GO:0016032', 'GO:0016567', 'GO:0016604', 'GO:0016607', 'GO:0016740', 'GO:0019901', 'GO:0030674', 'GO:0032880', 'GO:0043123', 'GO:0046872', 'GO:0051091', 'GO:0051092', 'GO:0051607', 'GO:0060333', 'GO:0070206', 'GO:1903507']	Q5NES5	
7	177416	9606	Q5NEX4	Q8NDV7	physical association	two hybrid pooling approach	20711500	IntAct	0.37	20711500Q5NEX4Q8NDV7two hybrid pooling approach	['IPR001100', 'IPR004099', 'IPR006258', 'IPR012999', 'IPR016156', 'IPR023753', 'IPR036188']	['IPR019486', 'IPR026805', 'IPR032226', 'IPR033501', 'IPR034924', 'IPR035979']	['GO:0004148', 'GO:0005623', 'GO:0009055', 'GO:0016491', 'GO:0016668', 'GO:0022900', 'GO:0045454', 'GO:0050660', 'GO:0055114']	['GO:0000932', 'GO:0003676', 'GO:0003723', 'GO:0005515', 'GO:0005654', 'GO:0005737', 'GO:0005794', 'GO:0005829', 'GO:0006417', 'GO:0007223', 'GO:0031047', 'GO:0035068', 'GO:0035194', 'GO:0035195', 'GO:0035278', 'GO:0043231', 'GO:0045652', 'GO:0060964']		
8	177416	9606	Q5NIP6	Q8NDV7	physical association	two hybrid pooling approach	20711500	IntAct	0.37	20711500Q5NIP6Q8NDV7two hybrid pooling approach	['IPR000120', 'IPR004412', 'IPR020556', 'IPR023631', 'IPR036928']	['IPR019486', 'IPR026805', 'IPR032226', 'IPR033501', 'IPR034924', 'IPR035979']	['GO:0000166', 'GO:0004040', 'GO:0005524', 'GO:0006412', 'GO:0016874', 'GO:0030956', 'GO:0050567']	['GO:0000932', 'GO:0003676', 'GO:0003723', 'GO:0005515', 'GO:0005654', 'GO:0005737', 'GO:0005794', 'GO:0005829', 'GO:0006417', 'GO:0007223', 'GO:0031047', 'GO:0035068', 'GO:0035194', 'GO:0035195', 'GO:0035278', 'GO:0043231', 'GO:0045652', 'GO:0060964']		
9	177416	9606	Q5NHD1	O94826	physical association	two hybrid pooling approach	20711500	IntAct	0.37	20711500O94826Q5NHD1two hybrid pooling approach	['IPR000358', 'IPR002109', 'IPR009078', 'IPR011900', 'IPR014025', 'IPR033909', 'IPR036249']	['IPR001440', 'IPR011990', 'IPR013026', 'IPR019734']	['GO:0004748', 'GO:0005623', 'GO:0006260', 'GO:0009055', 'GO:0009263', 'GO:0015035', 'GO:0016491', 'GO:0022900', 'GO:0045454', 'GO:0046872', 'GO:0055114']	['GO:0005515', 'GO:0005739', 'GO:0005741', 'GO:0005742', 'GO:0006626', 'GO:0008320', 'GO:0016020', 'GO:0016021', 'GO:0016236', 'GO:0070062', 'GO:0071806']		
10	177416	9606	Q5NHH2	Q96GC9	physical association	two hybrid pooling approach	20711500	IntAct	0.37	20711500Q5NHH2Q96GC9two hybrid pooling approach	['IPR021699']	['IPR032816']		['GO:0000407', 'GO:0000421', 'GO:0005515', 'GO:0005730', 'GO:0005773', 'GO:0005774', 'GO:0005783', 'GO:0005886', 'GO:0006887', 'GO:0006914', 'GO:0007029', 'GO:0007030', 'GO:0007155', 'GO:0007566', 'GO:0016020', 'GO:0016021', 'GO:0033116', 'GO:0034329', 'GO:0098609']	Q5NHH2	
11	177416	9606	Q5NEY0	Q06643	physical association	two hybrid pooling approach	20711500	IntAct	0.37	20711500Q06643Q5NEY0two hybrid pooling approach	['IPR000705', 'IPR006203', 'IPR006204', 'IPR006206', 'IPR013750', 'IPR014721', 'IPR019539', 'IPR019741', 'IPR020568', 'IPR022963', 'IPR036554']	['IPR002961', 'IPR006052', 'IPR006053', 'IPR008983', 'IPR021184']	['GO:0000166', 'GO:0000287', 'GO:0004335', 'GO:0005524', 'GO:0005534', 'GO:0005737', 'GO:0005975', 'GO:0006012', 'GO:0008152', 'GO:0016301', 'GO:0016310', 'GO:0016740', 'GO:0016773', 'GO:0046835', 'GO:0046872']	['GO:0005102', 'GO:0005125', 'GO:0005164', 'GO:0005575', 'GO:0005615', 'GO:0005886', 'GO:0006955', 'GO:0007165', 'GO:0007267', 'GO:0010467', 'GO:0010469', 'GO:0016020', 'GO:0016021', 'GO:0033209', 'GO:0043588', 'GO:0045084', 'GO:0048535']		
